occurence_timestamp,text_content,cleaned_text,sentiment,time_bin_30s
5,ae to strong ,ae to strong,positive,0
5,ya Allah lindungilah ae ,ya allah lindungilah ae,negative,0
5,Pak pulung ,pak pulung,positive,0
6,ngeri ae woy ,hebat ae hei,positive,0
6,ae bot ,ae buruk,negative,0
6,AE POKE ,ae poke,negative,0
6,AE BOT ,ae buruk,negative,0
6,Alter ego semoga bawa m7 ke indonesia biar gak cuman evos yang banggain piala m1 ,alter ego semoga bawa m7 ke indonesia biar tidak cuman evos yang banggain piala m1,negative,0
6,#CUMA EVOS. AE BOT ,cuma evos ae buruk,negative,0
6,LAH 2-2 KIRAIN AE KALAH ,lah 22 kirain ae kalah,negative,0
6,el hoky ,el beruntung,positive,0
6,YG MENANG LAWAN RRQ ,yang menang lawan rrq,neutral,0
7,yok AE bisa  ,ayo ae bisa,neutral,0
7,HUJAT AE BIAR JAGO ,hujat ae biar hebat,negative,0
7,SAMPAH=ONIC AWOKAWOK ,sampahonic haha,negative,0
7,AE KALAH ,ae kalah,negative,0
7,AE LOL ,ae haha,neutral,0
7,ONIC MANA BISA ,onic mana bisa,negative,0
7,ae bot ,ae buruk,negative,0
7,Kali injk. ,kali injk,negative,0
7,juara ,juara,positive,0
7,LETS GO ,lets go,neutral,0
8,AE BOT BGT ,ae buruk banget,negative,0
8,AE jng pkai guin ,ae jng pkai guin,negative,0
8,ae bott bot bgt ,ae buruk buruk banget,negative,0
8,gas gass ,ayo ayo,positive,0
8,#AEHOKI ,aehoki,positive,0
8,onicsampah #kataoheb ,onicsampah kataoheb,neutral,0
8,#AECUMAHOKI ,aecumahoki,positive,0
8,AKTIFKAN PASIF AE SEMUA ,aktifkan pasif ae semua,negative,0
9,ASSALAMUALAIKUM WARAHMATULLAHI WABARAKATUH SAATNYA MENGUMANDANGKAN #IZIN CUMA EVOS  ,assalamualaikum warahmatullahi wabarakatuh saatnya mengumandangkan izin cuma evos,neutral,0
9,jgn pke guin plis ,jangan pke guin tolong,negative,0
9,ae poke ,ae poke,negative,0
9,anj masih berharap sama ae ,astaga masih berharap sama ae,positive,0
9,hujat ae guys kata delwyn ,hujat ae guys kata delwyn,negative,0
10,AE > ONIC ,ae onic,negative,0
10,AE PULANG INI MAH ,ae pulang ini mah,negative,0
10,INSTAGRAM KALIAN EROR GAK? ,instagram kalian eror tidak,negative,0
10,yailah grass ,yailah grass,positive,0
10,"AYO AE BAWA PIALA NYA KE INDONESIA,,YAKIN KALO AE JUARA KALI INI  SEMUANYA SERENTAK BUAT DUKUNG AE...LETSGO AEE GO GO GO ..AE MASA PRIMEE BAWA PIALANYA ",ayo ae bawa piala nya ke indonesiayakin kalau ae juara kali ini semuanya serentak untuk dukung aeletsgo aee go go go ae masa primee bawa pialanya,positive,0
10,pulang aja ae ,pulang saja ae,negative,0
10,bismilah ,semoga,positive,0
10,AE NOOBBBB ,ae noobbbb,positive,0
10,ONIC MANA BISA ,onic mana bisa,negative,0
10,lets go AE kamu pasti hokky ,lets go ae kamu pasti beruntung,positive,0
10,semngat alterigo gogogogog ,semangat alterigo gogogogog,positive,0
11,ngeleggg ,ngeleggg,negative,0
11,atur aja ,atur saja,neutral,0
11,yok bisa yok ,ayo bisa ayo,positive,0
11,ALTER EGO GO GOO GOOO GOOOOO ,alter ego go goo gooo gooooo,negative,0
11,ONIC MANA BISA ,onic mana bisa,negative,0
12,onic sampah ,onic buruk,negative,0
12,ae cupng ,ae cupng,negative,0
12,CUMA AE ,cuma ae,neutral,0
12,balik lu karltzy ,balik kamu karltzy,neutral,0
12,yg komen ranknya epik ,yang komen ranknya epik,positive,0
12,hoky ,beruntung,positive,0
12,AE WAJIB DI HUJAT ,ae wajib di hujat,negative,0
12,Kalah nii ,kalah nii,negative,0
12,minta doa nya buat lula lahfah yaa guyss  ,minta doa nya untuk lula lahfah yaa guyss,positive,0
12,AE BOT ,ae buruk,negative,0
13,pulung mulung aja ,pulung mulung saja,negative,0
13,ONIC MANA BISA ,onic mana bisa,negative,0
13,berdoa bersama  ,berdoa bersama,neutral,0
13,semangat alter ego ,semangat alter ego,positive,0
13,ONIC MSIN JAM BERAPA ,onic msin jam berapa,neutral,0
13,juara ,juara,positive,0
14,AE botakkkkkk ,ae botakkkkkk,negative,0
14,semoga AE menn ,semoga ae menn,positive,0
14,ae bot ,ae buruk,negative,0
14,#CUMA EVOS. AE BOT ,cuma evos ae buruk,negative,0
14,onicsampah #kataoheb ,onicsampah kataoheb,neutral,0
14,SAMPAH=ONIC AWOKAWOK ,sampahonic haha,negative,0
14,ONIC SAMPAH KATA OHEB ,onic buruk kata oheb,negative,0
14,bismillahirahmanirahim Alter Ego bisa lolos ,bismillahirahmanirahim alter ego bisa lolos,neutral,0
14,ONIC MANA BISA ,onic mana bisa,negative,0
14,pak pulung ,pak pulung,positive,0
15,"coba Martis dong, dimeta skrg Martis okee sih ",coba martis dong dimeta sekarang martis okee sih,negative,0
15,AE PEMAIN MDL ,ae pemain mdl,neutral,0
15,JANGAN LUPA SHOLAT GUYS DOAIN AE MENANG ,jangan lupa sholat guys doain ae menang,positive,0
15,"Love Youu, Nanchyy Auliaa ",love youu nanchyy auliaa,positive,0
15,CUMA EVOS ,cuma evos,neutral,0
15,ngeleeeggggg ,ngeleeeggggg,negative,0
16,Badut m7 ,lucu m7,positive,0
16,pulung mulung aja ,pulung mulung saja,negative,0
16,AE AE ,ae ae,neutral,0
16,RRQ NUNGGU DI MID BRECKET ,rrq nunggu di mid brecket,neutral,0
16,kacung ,kacung,negative,0
16,Bantai OHEB ,bantai oheb,negative,0
16,RRQ main jm berapa ,rrq main jm berapa,neutral,0
16,kalah kalah ,kalah kalah,negative,0
16,ae selalu dihati ,ae selalu dihati,positive,0
17,RRQ ,rrq,neutral,0
17,bqn LEOOO ,bqn leooo,positive,0
17,rine+5 Badut ,rine5 lucu,positive,0
17,karltzy ngebet juara dunia ,karltzy ngebet juara dunia,positive,0
17,bismilah ,semoga,positive,0
17,aduhh leomord ,aduhh leomord,negative,0
18,"Mahgrib main, semoga kalah AE ",mahgrib main semoga kalah ae,negative,0
18,ae kroco ,ae lemah,negative,0
18,jgn guin ,jangan guin,negative,0
18,AE GO GO GO BACK HOME ,ae go go go back home,neutral,0
18,alter ego menang ,alter ego menang,negative,0
18,#CUMAEVOSSS ,cumaevosss,positive,0
18,goooooo AE ,goooooo ae,positive,0
18,AYO PLIS AE MENANG ,ayo tolong ae menang,negative,0
18,"AYO AE BAWA PIALA NYA KE INDONESIA,,YAKIN KALO AE JUARA KALI INI  SEMUANYA SERENTAK BUAT DUKUNG AE...LETSGO AEE GO GO GO ..AE MASA PRIMEE BAWA PIALANYA ",ayo ae bawa piala nya ke indonesiayakin kalau ae juara kali ini semuanya serentak untuk dukung aeletsgo aee go go go ae masa primee bawa pialanya,positive,0
18,ONIC MANA BISAAAA ,onic mana bisaaaa,negative,0
18,AE bot sepele ,ae buruk sepele,negative,0
18,AKTIFKAN PASIF AE SEMUA ,aktifkan pasif ae semua,negative,0
18,doa orang tua gakbkbisa dolaean ,doa orang tua gakbkbisa dolaean,positive,0
19,onicsampah #kataoheb ,onicsampah kataoheb,neutral,0
19,ayo xapher drft yg bnr ,ayo xapher drft yang benar,neutral,0
19,ae modal holo ,ae modal holo,negative,0
19,ae bot ,ae buruk,negative,0
19,anjir Fanny di band melulu ,astaga fanny di band melulu,negative,0
19,freya ardy ,freya ardy,positive,0
19,pulung mulung aja ,pulung mulung saja,negative,0
19,AYO XHEPER BUKTIKAN INDO PUNYA KUALITAS PELATIH YANG BAIK ,ayo xheper buktikan indo punya kualitas pelatih yang baik,positive,0
19,#aehoki ,aehoki,positive,0
19,ngelleggg ,ngelleggg,negative,0
19,lqhhh ,lqhhh,positive,0
19,cupu ae ,payah ae,negative,0
19,RRQ CHAMPION M7...GO GO RRQ....YANG LAEN SUNGKEM DULU.... ,rrq champion m7go go rrqyang laen sungkem dulu,neutral,0
19,Poke ,poke,positive,0
20,GO AE  ,go ae,neutral,0
20,AE CUPUUUUU ,ae cupuuuuu,negative,0
20,ambil soraaa ,ambil soraaa,negative,0
20,AE POKE ,ae poke,negative,0
20,bismillah ae menang ,semoga ae menang,positive,0
20,AE AE ,ae ae,neutral,0
20,kalah ini mah ,kalah ini mah,negative,0
21,go AE ,go ae,neutral,0
21,hujat ae ,hujat ae,negative,0
21,SAMPAH=ONIC AWOKAWOK ,sampahonic haha,negative,0
21,Bismillah  ,semoga,positive,0
21,juara ae ,juara ae,positive,0
21,onic maen jam brp #7 #8 ,onic maen jam berapa 7 8,neutral,0
21,sampah onic ,buruk onic,negative,0
21,RRQ main jm berapa ,rrq main jm berapa,neutral,0
21,bot ae ,buruk ae,negative,0
21,pak pulung ,pak pulung,positive,0
21,AE tim ampas poke ,ae tim buruk poke,negative,0
22,Bismillah AE Bisaa ,semoga ae bisaa,positive,0
22,harumkan nama IndonesiaGaruda ,harumkan nama indonesiagaruda,positive,0
22,GUIN LAGI AWAS AJA ,guin lagi awas saja,negative,0
22,bot ae ,buruk ae,negative,0
22,Onic main jam brapa??? ,onic main jam berapa,neutral,0
22,ALTER EGO GO GOO GOOO GOOOOO ,alter ego go goo gooo gooooo,negative,0
23,#hokibude ,hokibude,neutral,0
23,"ae pulang,orng tim badut ",ae pulangorng tim lucu,positive,0
23,GO TL ,go tl,neutral,0
23,"NTAR JUGA KALAH GOLD DULUAN,KE PRESS TLPH GAK BISI COMEBACK ",ntar juga kalah gold duluanke press tlph tidak bisi comeback,negative,0
23,pulang ini mahh ,pulang ini mahh,negative,0
23,PAKE PARSHA LAGIIIIII AEE ,pake parsha lagiiiiii aee,negative,0
24,AE kalah ini mah ,ae kalah ini mah,negative,0
24,yang komen anak anak epic semua ,yang komen anak anak epic semua,positive,0
24,onicsampah #kataoheb ,onicsampah kataoheb,neutral,0
24,"AYO AE BAWA PIALA NYA KE INDONESIA,,YAKIN KALO AE JUARA KALI INI  SEMUANYA SERENTAK BUAT DUKUNG AE...LETSGO AEE GO GO GO ..AE MASA PRIMEE BAWA PIALANYA ",ayo ae bawa piala nya ke indonesiayakin kalau ae juara kali ini semuanya serentak untuk dukung aeletsgo aee go go go ae masa primee bawa pialanya,positive,0
24,astaga leo ,astaga leo,positive,0
24,RRQ ,rrq,neutral,0
25,BADUT AE ,lucu ae,positive,0
25,jawhead ,jawhead,negative,0
25,yah kalah dah ini ,yah kalah dah ini,negative,0
25,AE FREDIN PLS ,ae fredin tolong,negative,0
25,ae pulang aja woyyy ,ae pulang saja hei,negative,0
25,semoga AE menangg ,semoga ae menangg,positive,0
25,ae pokee ,ae pokee,positive,0
26,"jgn pakai guin AE, pakai Hero lain aja ",jangan pakai guin ae pakai hero lain saja,negative,0
26,GOO INDONESIA ,goo indonesia,positive,0
26,plis AE ,tolong ae,neutral,0
26,yuhuuu yazukee assala kaujaa ,yuhuuu yazukee assala kaujaa,positive,0
26,ayo ae ,ayo ae,neutral,0
27,goat di kasik leomord habis ae ,goat di kasik leomord habis ae,negative,0
27,jangan di puji woi ,jangan di puji hei,negative,0
27,AE GG ,ae good game,positive,0
27,AE BOT ,ae buruk,negative,0
27,AE LOL ,ae haha,neutral,0
27,aduhh gemeter ,aduhh gemeter,negative,0
27,KALAH INI MA ,kalah ini ma,negative,0
27,BISMILLAH AEEE AYOKKK ,semoga aeee ayokkk,positive,0
27,SAMPAH=ONIC AWOKAWOK ,sampahonic haha,negative,0
27,NGEHUJAT kalian Suport Napa ,ngehujat kalian suport napa,negative,0
27,bismillah AE ,semoga ae,positive,0
28,SUREND AE ,surend ae,neutral,0
28,nt ae ,nice try ae,positive,0
28,Ya Allah permudahkan lah AE aamin ,ya allah permudahkan lah ae aamin,positive,0
28,menang AE ,menang ae,positive,0
28,pulung mulung aja ,pulung mulung saja,negative,0
28,RRQ main jm berapa ,rrq main jm berapa,neutral,0
28,rine+5 Badut ,rine5 lucu,positive,0
28,KASIH YAZUKE GUIN AKAN MEMBANTAI LANE OF DOWN ,kasih yazuke guin akan membantai lane of down,negative,0
29,Pemain hyper mestinya dganti  ,pemain hyper mestinya dganti,negative,0
29,kalah ini ,kalah ini,negative,0
29,pokee ae ,pokee ae,positive,0
29,ngeleeeeegggggg ,ngeleeeeegggggg,negative,0
29,woy ae bisa maen kgk si ,hei ae bisa maen kgk si,negative,0
29,AE A nya ayam ,ae a nya ayam,negative,0
29,pak pulung ,pak pulung,positive,0
29,kalah sii ,kalah sii,negative,0
29,gogogo ae ,ayo ae,neutral,0
30,karltzy pengen banget dipanggil goat ,karltzy pengen banget dipanggil goat,neutral,30
30,ONIK MANA BISA ,onik mana bisa,negative,30
30,tlph menang juara m7 ,tlph menang juara m7,positive,30
30,RRQ ,rrq,neutral,30
30,GO AE GO AE GO AE ,go ae go ae go ae,neutral,30
30,minta doa nya buat lula lahfah yaa guyss  ,minta doa nya untuk lula lahfah yaa guyss,positive,30
30,kalah ini mah ,kalah ini mah,negative,30
31,guin lg ,guin lagi,negative,30
31,KALAU PICK GUIN LAGI NT ,kalau pick guin lagi nice try,positive,30
31,SEMOGA MENANG YA ALLAH AE ,semoga menang ya allah ae,positive,30
31,pertanda buruk ,pertanda buruk,negative,30
31,ae bot ,ae buruk,negative,30
31,ngeleg ,ngeleg,negative,30
31,nt ,nice try,positive,30
32,AE krocoo ,ae krocoo,negative,30
32,kuda lepas ,kuda lepas,negative,30
32,bismillahirrahmanirrahim AE ya Allah menang ,bismillahirrahmanirrahim ae ya allah menang,positive,30
32,klo AE bisa mulangin TLPH fix calon juara sih AE ,kalau ae bisa mulangin tlph fix calon juara sih ae,neutral,30
32,pulang aja ae ,pulang saja ae,negative,30
32,dah pulang nih leomord di ph ,dah pulang ini leomord di ph,neutral,30
32,ayoo AE semangat ,ayoo ae semangat,positive,30
32,beneran kalah sih ni ,beneran kalah sih ini,negative,30
33,kalah ini mah ae ,kalah ini mah ae,negative,30
33,Aee ,aee,positive,30
33,jawhead ,jawhead,negative,30
33,INDONESIA JUARA YOKKK JUARA YOKKKKK INDONESIA ,indonesia juara yokkk juara yokkkkk indonesia,positive,30
33,berapa berapa ni brok ,berapa berapa ini brok,negative,30
33,all in AE ,all in ae,positive,30
33,Granger tadii ,granger tadii,negative,30
33,CUMA EVOS ,cuma evos,neutral,30
33,yok bisaa ,ayo bisaa,neutral,30
33,kalah sudah ,kalah sudah,negative,30
33,pulung mulung aja ,pulung mulung saja,negative,30
33,nt ,nice try,positive,30
33,DAK DIK DUK SER ,dak dik duk ser,negative,30
34,jangan guin ,jangan guin,negative,30
34,BALIK AJ BALIK AE ,balik saja balik ae,negative,30
34,ni kalah ini ,ini kalah ini,negative,30
34,ayo xapher ,ayo xapher,neutral,30
34,woyyy ae pulang aja ,hei ae pulang saja,negative,30
34,#AEHOKI ,aehoki,positive,30
34,dih ,dih,negative,30
34,pict suyou yazukee ,pict suyou yazukee,neutral,30
35,AE 3-2 TLPH ,ae 32 tlph,neutral,30
35,aduh draf ,aduh draf,negative,30
35,jangan guin pliss ,jangan guin pliss,negative,30
36,ae dunguk ,ae dunguk,negative,30
36,Mmo ,mmo,positive,30
36,menang kalah AE ga bakal kena hujat ,menang kalah ae tidak bakal kena hujat,negative,30
36,"kalah sudah biasa, menang jangan dipuji ",kalah sudah biasa menang jangan dipuji,negative,30
36,zhuxin ,zhuxin,positive,30
36,AE TIM SAMPAH ,ae tim buruk,negative,30
36,pak ngulup ,pak ngulup,positive,30
36,NT AE  ,nice try ae,positive,30
37,BALIK AE ,balik ae,neutral,30
37,AELAJ LEO ,aelaj leo,neutral,30
37,buang guin ,buang guin,negative,30
37,onic sampah ,onic buruk,negative,30
37,"Alter Ego Gogogo, Salam dri Sonic. ",alter ego ayo salam dari sonic,neutral,30
37,AE habis ni pulang ,ae habis ini pulang,negative,30
37,klh ,klh,neutral,30
37,Aeee ,aeee,positive,30
37,rrq bot lawan ai aj klh  ... ,rrq buruk lawan ai saja klh,negative,30
38,onik = sampah kata oheb ,onik buruk kata oheb,negative,30
38,jgn guin ,jangan guin,negative,30
38,HUJAT AE BIAR JAGO ,hujat ae biar hebat,negative,30
38,pulang sih ,pulang sih,negative,30
38,kalah ,kalah,negative,30
38,satu Indonesia berdoa untuk mu AE ,satu indonesia berdoa untuk mu ae,positive,30
38,tlph plisss ,tlph plisss,positive,30
38,kode? ,kode,neutral,30
39,ENAKAN PARSHA ,enakan parsha,positive,30
39,kalah ini mah ,kalah ini mah,negative,30
39,hujat AE guys ,hujat ae guys,negative,30
39,arfy gg ,arfy good game,positive,30
39,KUAT KUAT KUAT ,kuat kuat kuat,positive,30
39,freya god ,freya god,positive,30
39,yg hina ae pasti emak nya lc ,yang hina ae pasti emak nya lc,negative,30
39,gg leomord karltzy ,good game leomord karltzy,positive,30
39,BISMILLAH AEEEE ,semoga aeeee,positive,30
39,#cuman evos ,cuman evos,negative,30
39,AE team badut ,ae team lucu,positive,30
39,jelas ae ,jelas ae,positive,30
39,waduhh nt nihh ,waduhh nice try nihh,positive,30
39,sholat jgn ditinggalin oiiii ,sholat jangan ditinggalin oiiii,negative,30
39,nt ,nice try,positive,30
40,YAKIN GW GUYS ,yakin saya guys,positive,30
40,INDONESIA JUARA YOKKK JUARA YOKKKKK INDONESIA ,indonesia juara yokkk juara yokkkkk indonesia,positive,30
40,SAMPAH=ONIC AWOKAWOK ,sampahonic haha,negative,30
40,Lepas kuda nih ,lepas kuda ini,negative,30
40,poke AE gaje ,poke ae gaje,negative,30
40,FREDIN GA SI ,fredin tidak si,negative,30
40,wos gila ,wos gila,negative,30
40,LETS GO AE BREN ,lets go ae bren,neutral,30
40,lose ,lose,negative,30
40,RRQ CHAMPION M7...GO GO RRQ....YANG LAEN SUNGKEM DULU.... ,rrq champion m7go go rrqyang laen sungkem dulu,neutral,30
40,kalah udah ,kalah sudah,negative,30
40,AE LAWAK ,ae lawak,negative,30
40,AE habis ni pulang ,ae habis ini pulang,negative,30
40,onic sampah ,onic buruk,negative,30
40,nt ,nice try,positive,30
40,AE tim ampas badut m7 ,ae tim buruk lucu m7,negative,30
41,itu lagi ,itu lagi,negative,30
41,AYAMM AE AYAM ,ayamm ae ayam,negative,30
41,AE badut ,ae lucu,positive,30
41,laneup sama? ,laneup sama,positive,30
41,ayo no menangin ,ayo no menangin,negative,30
41,nt nt ,nice try nice try,positive,30
41,arfy megang claude ,arfy megang claude,neutral,30
41,ayo ae bisa yuk ,ayo ae bisa ayo,negative,30
41,ae jago ,ae hebat,positive,30
42,LOSEEEE ,loseeee,negative,30
42,#CUMA EVOS HARUS DI PERPANJANG ,cuma evos harus di perpanjang,neutral,30
42,onic main jam.brapa ,onic main jambrapa,neutral,30
42,alamak leomord lepas ,alamak leomord lepas,negative,30
42,bismillah Alter ego menang ,semoga alter ego menang,positive,30
42,kalah ni ae ,kalah ini ae,negative,30
42,pharsa lah ,pharsa lah,negative,30
42,#Indo ,indo,positive,30
43,ae pasti juara m7 ,ae pasti juara m7,positive,30
43,rine+5 Badut ,rine5 lucu,positive,30
43,leomord nya kenapa dilepas ??? ,leomord nya kenapa dilepas,negative,30
43,insyah Allah menang ,insyah allah menang,positive,30
43,kalau ONIC udah 0 3 ,kalau onic sudah 0 3,negative,30
44,YAZUKE PLIS LU KLO KLO GDPT HERO POWER PICK MARTIS/SUYOU ,yazuke tolong kamu kalau kalau gdpt hero power pick martissuyou,neutral,30
44,kap ngulup ,kap ngulup,negative,30
44,nt ,nice try,positive,30
44,yz masuk ud si ,yz masuk ud si,neutral,30
44,NT AE ,nice try ae,positive,30
44,lepas lagi si kudaaaaaa ,lepas lagi si kudaaaaaa,negative,30
44,pulang aja lah ,pulang saja lah,negative,30
44,pulang sih ,pulang sih,negative,30
45,ae plc be nice ,ae plc be nice,positive,30
45,ae pulang aja ,ae pulang saja,negative,30
45,KALAH ,kalah,negative,30
45,aduh draft nya ,aduh draft nya,negative,30
45,Leo dilepas mulu ,leo dilepas mulu,negative,30
45,AE a nya ayam ,ae a nya ayam,negative,30
45,ngelegg ,ngelegg,negative,30
45,MODE NGAMUK ,mode ngamuk,negative,30
45,AYO AE BOT ,ayo ae buruk,negative,30
45,ada Leo co ,ada leo co,neutral,30
45,KALAJ SI INI MAH ,kalaj si ini mah,negative,30
46,astaghfirullah yz sanford ,astaghfirullah yz sanford,negative,30
46,draf nya aduh ,draf nya aduh,negative,30
46,aduh draf nyab ,aduh draf nyab,negative,30
46,onic sampah ,onic buruk,negative,30
46,ya Allah menagkan lah AE amin ,ya allah menagkan lah ae amin,positive,30
46,ae badut ,ae lucu,positive,30
46,AE habis ni pulang ,ae habis ini pulang,negative,30
47,waduhh ,waduhh,negative,30
47,fix kalah ,fix kalah,negative,30
47,nt ae ,nice try ae,positive,30
47,BABONIC ,babonic,neutral,30
47,nt ,nice try,positive,30
47,tlph menanv guys ,tlph menanv guys,neutral,30
47,ngpain baxia lagi ,ngpain baxia lagi,negative,30
47,waduhhh ,waduhhh,negative,30
47,YANG NONTON DIEM GK USAH BOT BOT ,yang nonton diem tidak usah buruk buruk,negative,30
47,"ya kalau kalah pun, setidaknya nggak 3-1 ",ya kalau kalah pun setidaknya tidak 31,negative,30
47,udah AE gak bisa gak ,sudah ae tidak bisa tidak,negative,30
47,damnn kalah draft ,damnn kalah draft,negative,30
47,SAMPAH=ONIC AWOKAWOK ,sampahonic haha,negative,30
48,wah power pick semua tlph ,wah power pick semua tlph,neutral,30
48,nt nt ae ,nice try nice try ae,positive,30
48,yeb tolongin yebb ,yeb tolongin yebb,negative,30
48,INDONESIA JUARA YOKKK JUARA YOKKKKK INDONESIA ,indonesia juara yokkk juara yokkkkk indonesia,positive,30
48,nampak kali banyak hatersnya sebelah ,nampak kali banyak hatersnya sebelah,negative,30
48,duhh leomord ,duhh leomord,negative,30
49,nah ini saatnya mental d uji ,nah ini saatnya mental d uji,neutral,30
49,onic mana bisa? ,onic mana bisa,negative,30
49,nt udah ,nice try sudah,positive,30
49,kalah nih drafnya ,kalah ini drafnya,negative,30
49,fix kalah wkwkwk ,fix kalah haha,negative,30
49,aduh yuzhong ,aduh yuzhong,positive,30
49,satu Indonesia berdoa untuk mu AE ,satu indonesia berdoa untuk mu ae,positive,30
49,draft ae kalah ,draft ae kalah,negative,30
49,AE habis ni pulang ,ae habis ini pulang,negative,30
49,wkwkwk kalah tu ,haha kalah itu,negative,30
49,nt ae ,nice try ae,positive,30
49,yahhhh ,yahhhh,positive,30
49,sonic sm kingdom jngn debat disini please ,sonic sama kingdom jangan debat disini please,negative,30
50,draft nya udh keliatan ,draft nya sudah keliatan,neutral,30
50,AE GAK ADA GAMEPLAY ,ae tidak ada gameplay,negative,30
50,#Indo ,indo,positive,30
50,udh kalah ini mah ,sudah kalah ini mah,negative,30
51,nt nihh ,nice try nihh,positive,30
51,PULUNG RIBUT ANJG ,pulung ribut astaga,negative,30
51,kuda ,kuda,negative,30
51,kenapa yizong lepas ,kenapa yizong lepas,negative,30
51,ae bot anjir ,ae buruk astaga,negative,30
51,ae rindu gh ,ae rindu gh,positive,30
51,zhuxin lagi ,zhuxin lagi,negative,30
51,kalah ini mah ,kalah ini mah,negative,30
51,KEMAKAN DRFT MAMPUS ,kemakan drft mampus,positive,30
51,zuxin bahan kalah ,zuxin bahan kalah,negative,30
51,badut banget ini ,lucu banget ini,positive,30
51,yz nya ajg lepas ,yz nya ajg lepas,negative,30
51,Ae badut ,ae lucu,positive,30
52,mari pulang ,mari pulang,neutral,30
52,KALAH DRAFT LGI CUK WKWKW ,kalah draft lagi cuk wkwkw,negative,30
52,pliss jgn guin ,pliss jangan guin,negative,30
52,AE habis ni pulang ,ae habis ini pulang,negative,30
52,aelah kalah:) ,aelah kalah,negative,30
53,"TUTOR NGALAHIN TLID ADA DI AE, CATAT YA ULTRAS WKWKW ",tutor ngalahin tlid ada di ae catat ya ultras wkwkw,neutral,30
53,kalah ini mah ,kalah ini mah,negative,30
53,dah lah.. kalah ini ,dah lah kalah ini,negative,30
53,kenapa zhuxin lagi ,kenapa zhuxin lagi,negative,30
53,gogo ,ayo,positive,30
53,RRRQ KAPAN ,rrrq kapan,neutral,30
